"Intermediary Value","nanoTime"
"65","9320875568300"
"196","9320875572400"
"98","9320875577100"
"49","9320875579300"
"148","9320875581500"
"74","9320875585500"
"37","9320875587500"
"112","9320875589500"
"56","9320875593500"
"28","9320875595500"
"14","9320875597500"
"7","9320875601300"
"22","9320875603500"
"11","9320875605400"
"34","9320875612600"
"17","9320875614700"
"52","9320875616600"
"26","9320875621000"
"13","9320875623100"
"40","9320875625100"
"20","9320875629800"
"10","9320875632000"
"5","9320875633900"
"16","9320875637600"
"8","9320875639900"
"4","9320875641800"
"2","9320875645500"
"1","9320875647600"
